,F-Measure,Max F-Measure,Track ID
45,0.9752851711026616,0.9752851711026616,0548_2getherextended
46,0.9955654101995565,0.9955654101995565,0558_allnightlong
47,0.9498327759197325,0.9498327759197325,0580_beautiful
48,0.9013157894736842,0.9013157894736842,0162_lobotomy
49,0.9976076555023923,0.9976076555023923,0900_sexychickakon
50,0.6364779874213836,0.9516587677725118,0333_allday
51,0.915057915057915,0.915057915057915,0288_thewayiare
52,0.8919413919413919,0.8919413919413919,0582_beautifulday
53,0.9826086956521739,0.9826086956521739,0099_forgetyou
54,0.6451612903225806,0.9660574412532638,0787_liveyourlife
55,0.9979166666666666,0.9979166666666666,0683_foreverextendedmix
56,0.10583941605839416,0.16022099447513813,0207_oopsohmy
57,0.512273212379936,0.7582329317269076,0893_say
58,0.998022412656559,0.998022412656559,0797_loveisgone
59,0.9595782073813708,0.9595782073813708,0075_dontcha
60,0.965034965034965,0.965034965034965,0314_whoomp
61,0.9687738004569687,0.9687738004569687,0262_stash
62,0.9556650246305419,0.9556650246305419,0082_dragosteadintei
63,0.9916123019571296,0.9916123019571296,0811_miami2ibiza
64,0.9843749999999999,0.9843749999999999,0507_teenagedream
65,0.5007132667617689,0.656429942418426,0028_blackmagic
66,0.9855564995751912,0.9855564995751912,0702_greenlight
67,0.9909909909909909,0.9909909909909909,0837_nottonight
68,0.9667812142038945,0.9667812142038945,0363_darkside
69,0.958904109589041,0.958904109589041,0140_impacto
70,0.9962049335863379,0.9962049335863379,0542_yougetwhatyougive
71,0.9729093050647821,0.9729093050647821,0551_accordingtoyou
72,0.646677471636953,0.9767156862745098,0186_nearlylostyou
73,0.9796557120500783,0.9796557120500783,0859_picturesofyou
74,0.9966850828729282,0.9966850828729282,0713_heartofgoldnow
75,0.6460554371002133,0.9758064516129031,0838_nowimallmessedup
76,0.9979123173277662,0.9979123173277662,0520_tonight
77,0.6672550750220654,1.0,0710_hardjeezy
78,0.9729286300246103,0.9729286300246103,0758_itgetsbetter
79,0.9634146341463414,0.9634146341463414,0413_ifyoucouldonlysee
80,0.9952305246422893,0.9952305246422893,0015_babygotback
81,0.9144254278728606,0.9144254278728606,0010_andjusticeforall
82,0.9723502304147466,0.9723502304147466,0910_solo
83,0.6368932038834951,0.9591836734693878,0831_noair
84,0.9943609022556391,0.9943609022556391,0409_idontlikeyou
85,0.6598540145985402,0.9912087912087912,0969_webelongtogether
86,0.9882352941176471,0.9882352941176471,0708_haloradioedit
87,0.9413854351687388,0.9413854351687388,0305_wenospeakamericano
88,0.9849137931034483,0.9849137931034483,0746_imnotyourhero
89,0.9961190168175938,0.9961190168175938,0739_ikissedagirl
90,0.9948364888123925,0.9948364888123925,0534_wideawake
91,0.6272965879265092,0.9560878243512974,0155_lapdance
92,0.9821640903686089,0.9821640903686089,0964_wakingupinvegas
93,0.6413793103448276,0.9648894668400521,0311_whipmyhair
94,0.6512702078521939,0.979947689625109,0453_mygirl
95,0.9244897959183674,0.9244897959183674,0009_americanmusic
96,0.8628099173553719,0.8628099173553719,0078_donttouchme
97,1.0,1.0,0772_kissmebackcrytonight
98,0.9827315541601255,0.9827315541601255,0948_thislove
99,0.9936974789915966,0.9936974789915966,0430_lastfridaynight
100,0.973862536302033,0.973862536302033,0556_allaroundtheworld
101,0.996415770609319,0.996415770609319,0434_lights
102,0.9559681697612732,0.9559681697612732,0276_texasflood
103,0.9380428488708744,0.9380428488708744,0068_devilsisland
104,0.9834905660377358,0.9834905660377358,0769_killa
105,0.9287449392712551,0.9287449392712551,0055_constantmotion
106,0.9557522123893806,0.9557522123893806,0306_werunthis
107,0.9437314906219151,0.9437314906219151,0610_castle
108,0.9535864978902954,0.9535864978902954,0020_becauseofyou
109,0.6405228758169934,0.9592169657422511,0666_fallin
110,0.9234042553191488,0.9234042553191488,0058_criticalacclaim
111,0.9544235924932977,0.9544235924932977,0151_kingofdancehall
112,0.9233791748526523,0.9233791748526523,0037_breakyourheart
113,0.9623567921440263,0.9623567921440263,0543_yougonnafly
114,0.6445396145610279,0.9709208400646204,0627_cowboyboots
115,0.9887850467289719,0.9887850467289719,0618_clocks
116,0.9915492957746479,0.9915492957746479,0760_iwannarock
117,0.9618573797678276,0.9618573797678276,0105_getdownonit
118,0.9420600858369099,0.9420600858369099,0327_youmakemefeel
119,0.6638743455497382,0.9945098039215686,0886_rudeboy
120,0.989517819706499,0.989517819706499,0982_whoknewdos
121,0.9748344370860927,0.9748344370860927,0307_whatdoesntkillyou
122,0.9788583509513743,0.9788583509513743,0555_allaroundme
123,0.9846678023850085,0.9846678023850085,0933_teardropsonmyguitar
124,0.9818181818181818,0.9818181818181818,0802_lovestoned
125,0.9882697947214076,0.9882697947214076,0611_catchingfeelings
126,0.8440979955456571,0.8440979955456571,0686_fortheloveofadaughter
127,0.9969727547931382,0.9969727547931382,0723_hotelroomservice
128,0.997844827586207,0.997844827586207,0961_unfaithfulfemme
129,0.99836867862969,0.99836867862969,0622_clumsy
130,0.9973935708079931,0.9973935708079931,0674_feelsocloseextendedmix
131,0.9873817034700315,0.9873817034700315,0786_livelikeweredying
132,0.6163982430453879,0.9289256198347108,0289_thisisexile
133,0.9960159362549801,0.9960159362549801,0574_badromanceappboyz
134,0.9916183107672469,0.9916183107672469,0843_omgalmighty
135,0.9837837837837837,0.9837837837837837,0629_crush
136,0.9890795631825272,0.9890795631825272,0890_samemistakes
137,0.6131386861313868,0.9177330895795247,0974_whateveryoulike
138,0.6337308347529812,0.6337308347529812,0267_superfreak
139,0.979591836734694,0.979591836734694,0378_effinperfect
140,0.9986130374479889,0.9986130374479889,0857_paralyzer
141,0.984936268829664,0.984936268829664,0679_firsttime
142,0.9931972789115647,0.9931972789115647,0989_womanizer
143,0.9938144329896906,0.9938144329896906,0351_blowup
144,0.9497816593886463,0.9497816593886463,0697_goodlife
145,0.8963350785340314,0.8963350785340314,0966_wakingupinvegascalvinh
146,1.0,1.0,0648_donttrustme
147,0.7022222222222222,0.7022222222222222,0644_dontsayaword
148,0.9319371727748691,0.9319371727748691,0243_saucyjack
149,1.0,1.0,0505_takeitoff
150,0.979002624671916,0.979002624671916,0371_downunder
151,0.9322916666666666,0.9322916666666666,0834_nosurprise
152,0.6488991888760139,0.9807692307692307,0577_battlefieldmainversion
153,0.6145922746781115,0.9336801040312094,0144_ishotthesheriff
