,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,HitRate_w0.5F,HitRate_w3F,HitRate_wt0.5F,HitRate_wt3F,PWF,PWP,PWR,Sf,So,Su,ds_name,track_id
0,0.6083659238943623,1.0,1.7999999999999972,1.7999999999999972,1.7999999999999972,0.20000000000000004,0.2,0.2,0.8000000000000002,0.8,0.8,0.125,0.125,0.125,0.875,0.875,0.875,0.2,0.8,0.125,0.875,0.6145316303503097,0.759142399802992,0.5161995913145178,0.6077956898724592,0.547246781997444,0.6834100847355473,0001,0001_12step
1,0.5357938279961953,2.0499999999999936,1.6999999999999886,2.0499999999999936,1.6999999999999886,0.3703703703703704,0.35714285714285715,0.38461538461538464,0.6666666666666666,0.6428571428571429,0.6923076923076923,0.34782608695652173,0.3333333333333333,0.36363636363636365,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.36368188448392225,0.65462739207106,0.34047540190058856,0.6809508038011771,0.4627771251774513,0.7695107209998664,0.3308839393540325,0.4014374661240719,0.2882880742503131,0.6607885389477308,0003,0003_6foot7foot
2,0.6023448934339364,1.0,1.5500000000000114,1.700000000000017,2.0500000000000087,0.3157894736842105,0.3333333333333333,0.3,0.7368421052631577,0.7777777777777778,0.7,0.13333333333333333,0.14285714285714285,0.125,0.6666666666666666,0.7142857142857143,0.625,0.32426399223552255,0.7566159818828858,0.13789829948819546,0.6894914974409775,0.5790241881615457,0.6066035403023539,0.5538435783191189,0.6409128986342678,0.6319218430382605,0.6501634985724721,0004,0004_abc
3,0.5816771095230489,1.7999999999999972,1.7999999999999972,1.7999999999999972,1.7999999999999972,0.33333333333333337,0.3076923076923077,0.36363636363636365,0.8333333333333333,0.7692307692307693,0.9090909090909091,0.3,0.2727272727272727,0.3333333333333333,0.9,0.8181818181818182,1.0,0.32008814160139876,0.800220354003497,0.28580797855656,0.8574239356696798,0.7690881323586958,0.6902255616285826,0.8682964065571268,0.7381470304238658,0.8164627008670213,0.6735405519630338,0005,0005_again
4,0.5357938279961953,1.0999999999999943,1.0999999999999943,1.1000000000000014,1.0999999999999943,0.09090909090909093,0.07692307692307693,0.1111111111111111,0.7272727272727274,0.6153846153846154,0.8888888888888888,0.0,0.0,0.0,0.7777777777777778,0.6363636363636364,1.0,0.08338116748608651,0.6670493398886921,0.0,0.7004822236199719,0.5493042402202186,0.4957887994602369,0.6157705058191711,0.5561176362520062,0.6347884132848141,0.4947963901887005,0006,0006_aint2proud2beg
5,0.5550932463340537,2.8000000000000114,3.3,3.6999999999999886,3.6999999999999886,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.3076923076923077,0.46153846153846156,0.27272727272727276,0.36363636363636365,0.3568202234227793,0.41144055870922297,0.31500242559544833,0.3932786140048713,0.3457553984322973,0.4559474520029073,0008,0008_america
6,0.5550932463340537,1.8999999999999915,1.2499999999999993,1.8999999999999915,1.2499999999999993,0.2608695652173913,0.23076923076923078,0.3,0.6956521739130435,0.6153846153846154,0.8,0.2105263157894737,0.18181818181818182,0.25,0.7368421052631579,0.6363636363636364,0.875,0.24500122219506235,0.6533365925201663,0.19522028748393128,0.6832710061937596,0.5706696569462044,0.6759102047038257,0.49378617818563514,0.6040378687011472,0.5477179974163271,0.6732675486843013,0009,0009_americanmusic
7,0.46094764477439354,12.300000000000011,1.1000000000000227,12.500000000000002,1.1000000000000227,0.3333333333333333,0.2857142857142857,0.4,0.4444444444444444,0.38095238095238093,0.5333333333333333,0.3125,0.2631578947368421,0.38461538461538464,0.4375,0.3684210526315789,0.5384615384615384,0.30785533287260997,0.41047377716348,0.28588297708486643,0.400236167918813,0.3776849242006705,0.28064623922030907,0.5772957110937001,0.5206290166485761,0.6602286977616173,0.42975996695994645,0010,0010_andjusticeforall
8,0.4703750827786753,4.849999999999998,3.8000000000000114,5.949999999999992,3.8000000000000114,0.06451612903225806,0.05,0.09090909090909091,0.19354838709677416,0.15,0.2727272727272727,0.0,0.0,0.0,0.14814814814814814,0.1111111111111111,0.2222222222222222,0.056387233970734675,0.169161701912204,0.0,0.12710913275885027,0.31651992068836826,0.26210322770003713,0.3994524390275991,0.34001164646330123,0.4204200406266799,0.28542251256074835,0011,0011_areyouexperienced
9,0.6023448934339364,1.5,4.0,4.0,4.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.1111111111111111,0.4444444444444444,0.0,0.42857142857142855,0.4078076450897285,0.6171190179671123,0.30452153774268476,0.3905245979761378,0.3169147302986707,0.5086745752191916,0012,0012_aroundtheworld
